transactionDate,postDate,desc,category,type,amount
05/18/2022,05/20/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/19/2022,05/22/2022,SHELL OIL 57541308607,Gas,Sale,-1.83
05/19/2022,05/22/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/19/2022,05/20/2022,H-E-B #102,Groceries,Sale,-16.73
05/19/2022,05/20/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/19/2022,05/20/2022,7-ELEVEN 36590,Gas,Sale,-1.61
05/19/2022,05/20/2022,7-ELEVEN 36255,Gas,Sale,-1.61
05/19/2022,05/20/2022,H-E-B #480,Groceries,Sale,-2.13
05/19/2022,05/20/2022,H-E-B #395,Groceries,Sale,-21.52
05/20/2022,05/22/2022,SQ *NICHE COFFEE COMPANY,Food & Drink,Sale,-3.25
05/20/2022,05/22/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
05/20/2022,05/22/2022,H-E-B #480,Groceries,Sale,-13.34
05/20/2022,05/22/2022,H-E-B #463,Groceries,Sale,-10.63
05/21/2022,05/23/2022,CIRCLE K #2740982,Gas,Sale,-1.72
05/21/2022,05/23/2022,QT 4003,Gas,Sale,-3.98
05/21/2022,05/23/2022,RAM`S EXPRESS,Gas,Sale,-2.48
05/21/2022,05/23/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/21/2022,05/22/2022,H-E-B #395,Groceries,Sale,-7.79
05/21/2022,05/22/2022,WAL-MART #2599,Groceries,Sale,-11.18
05/21/2022,05/22/2022,WCW HUEBNER LLC,Automotive,Sale,-6
05/21/2022,05/22/2022,H-E-B #480,Groceries,Sale,-14.4
05/22/2022,05/24/2022,QT 4003,Gas,Sale,-1.72
05/22/2022,05/24/2022,QT 4003,Gas,Sale,-1.83
05/22/2022,05/23/2022,H-E-B #480,Groceries,Sale,-14.59
05/22/2022,05/23/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.17
05/22/2022,05/23/2022,H-E-B #480,Groceries,Sale,-7.84
05/22/2022,05/23/2022,MCDONALD'S F3447,Food & Drink,Sale,-1.08
05/22/2022,05/23/2022,MCDONALD'S F3447,Food & Drink,Sale,-1.08
05/23/2022,05/24/2022,H-E-B #395,Groceries,Sale,-12.46
05/23/2022,05/24/2022,CIRCLE K #2741084,Gas,Sale,-1.72
05/23/2022,05/24/2022,COSTCO WHSE #0689,Shopping,Sale,-21.59
05/23/2022,05/24/2022,H-E-B #395,Groceries,Sale,-16.68
05/23/2022,05/24/2022,NETFLIX.COM,Bills & Utilities,Sale,-16.77
05/23/2022,05/24/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.17
05/23/2022,05/24/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.17
05/24/2022,05/26/2022,QT 4003,Gas,Sale,-1.72
05/24/2022,05/26/2022,CIRCLE K #2741054,Gas,Sale,-3.66
05/24/2022,05/25/2022,H-E-B #395,Groceries,Sale,-11.55
05/24/2022,05/25/2022,H-E-B #623,Groceries,Sale,-8
05/24/2022,05/25/2022,H-E-B #719,Groceries,Sale,-1.61
05/24/2022,05/25/2022,H-E-B GAS /CARWASH#719,Gas,Sale,-51.59
05/24/2022,05/25/2022,MCDONALD'S F12673,Food & Drink,Sale,-1.08
05/25/2022,05/27/2022,CIRCLE K #2741039,Gas,Sale,-3.66
05/25/2022,05/27/2022,QT 4003,Gas,Sale,-1.72
05/25/2022,05/26/2022,H-E-B #463,Groceries,Sale,-7.02
05/25/2022,05/26/2022,H-E-B #395,Groceries,Sale,-8.39
05/25/2022,05/26/2022,MCDONALD'S F12673,Food & Drink,Sale,-1.08
05/25/2022,05/26/2022,COSTCO WHSE #0689,Shopping,Sale,-9.48
05/26/2022,05/29/2022,CHOICE SPECIALTY PHARM,Health & Wellness,Sale,-26.43
05/26/2022,05/29/2022,CIRCLE K #2741084,Gas,Sale,-1.72
05/26/2022,05/27/2022,MCDONALD'S F3447,Food & Drink,Sale,-1.08
05/26/2022,05/27/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.17
05/26/2022,05/27/2022,H-E-B #395,Groceries,Sale,-15.79
05/26/2022,05/27/2022,H-E-B #480,Groceries,Sale,-23.82
05/26/2022,05/27/2022,H-E-B #480,Groceries,Sale,-8.68
05/27/2022,05/29/2022,H-E-B #480,Groceries,Sale,-11.99
05/27/2022,05/29/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.17
05/27/2022,05/29/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.17
05/27/2022,05/29/2022,CIRCLE K #2741084,Gas,Sale,-1.72
05/27/2022,05/29/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/28/2022,05/30/2022,QT 4003,Gas,Sale,-1.83
05/28/2022,05/30/2022,CIRCLE K #2741039,Gas,Sale,-1.72
05/28/2022,05/29/2022,H-E-B #463,Groceries,Sale,-21.23
05/28/2022,05/29/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
05/28/2022,05/29/2022,WAL-MART #2599,Groceries,Sale,-14.26
05/29/2022,05/30/2022,H-E-B #623,Groceries,Sale,-16.78
05/29/2022,05/30/2022,H-E-B #480,Groceries,Sale,-13.48
05/29/2022,05/30/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
05/29/2022,05/30/2022,MCDONALD'S F26150,Food & Drink,Sale,-2.38
05/30/2022,05/31/2022,H-E-B #395,Groceries,Sale,-9.77
05/30/2022,05/31/2022,CIRCLE K #2741061,Gas,Sale,-1.72
05/30/2022,05/31/2022,H-E-B #395,Groceries,Sale,-9.32
05/30/2022,05/31/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
05/30/2022,05/31/2022,MCDONALD'S F12673,Food & Drink,Sale,-1.08
05/31/2022,06/02/2022,CIRCLE K #2741061,Gas,Sale,-1.4
05/31/2022,06/01/2022,H-E-B #480,Groceries,Sale,-12.78
05/31/2022,06/01/2022,WAL-MART #2599,Groceries,Sale,-14.13
06/01/2022,06/03/2022,CIRCLE K #2741061,Gas,Sale,-1.72
06/01/2022,06/03/2022,CIRCLE K #2741084,Gas,Sale,-1.72
06/01/2022,06/02/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/01/2022,06/02/2022,H-E-B #480,Groceries,Sale,-6.5
06/01/2022,06/02/2022,STEAMGAMES.COM 4259522985,Entertainment,Sale,-64.95
06/01/2022,06/02/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/01/2022,06/02/2022,7-ELEVEN 36255,Gas,Sale,-4.63
06/01/2022,06/02/2022,H-E-B #480,Groceries,Sale,-22.23
06/02/2022,06/05/2022,QUICK STUFF,Gas,Sale,-1.5
06/02/2022,06/03/2022,H-E-B #395,Groceries,Sale,-15.11
06/02/2022,06/03/2022,COSTCO WHSE #0689,Shopping,Sale,-5.99
06/02/2022,06/03/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/03/2022,06/05/2022,CIRCLE K #2741061,Gas,Sale,-1.72
06/03/2022,06/05/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/03/2022,06/05/2022,7-ELEVEN 36255,Gas,Sale,-1.83
06/03/2022,06/05/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/03/2022,06/05/2022,H-E-B #480,Groceries,Sale,-13.46
06/04/2022,06/06/2022,CIRCLE K #2741039,Gas,Sale,-59.61
06/04/2022,06/06/2022,CIRCLE K #2741039,Gas,Sale,-1.72
06/04/2022,06/05/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/04/2022,06/05/2022,H-E-B #395,Groceries,Sale,-26.85
06/04/2022,06/05/2022,H-E-B #480,Groceries,Sale,-19.73
06/04/2022,06/05/2022,H-E-B #463,Groceries,Sale,-13.28
06/05/2022,06/07/2022,STARBUCKS STORE 15702,Food & Drink,Sale,-2.87
06/05/2022,06/06/2022,MCDONALD'S F3447,Food & Drink,Sale,-1.08
06/05/2022,06/06/2022,CIRCLE K #2741084,Gas,Sale,-1.72
06/05/2022,06/06/2022,H-E-B #102,Groceries,Sale,-17.89
06/05/2022,06/06/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/05/2022,06/06/2022,H-E-B #480,Groceries,Sale,-9.21
06/05/2022,06/06/2022,H-E-B #395,Groceries,Sale,-17.87
06/06/2022,06/08/2022,QT 4003,Gas,Sale,-1.72
06/06/2022,06/07/2022,H-E-B #480,Groceries,Sale,-6.77
06/06/2022,06/07/2022,H-E-B #395,Groceries,Sale,-17.9
06/06/2022,06/07/2022,COSTCO WHSE #0689,Shopping,Sale,-4.59
06/07/2022,06/08/2022,7-ELEVEN 36590,Gas,Sale,-2.48
06/07/2022,06/08/2022,H-E-B #480,Groceries,Sale,-16.11
06/07/2022,06/08/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/07/2022,06/08/2022,MCDONALD'S F3447,Food & Drink,Sale,-1.08
06/07/2022,06/08/2022,H-E-B #395,Groceries,Sale,-6.68
06/08/2022,06/10/2022,QT 4003,Gas,Sale,-2.59
06/08/2022,06/10/2022,CIRCLE K #2741039,Gas,Sale,-1.72
06/08/2022,06/09/2022,H-E-B #480,Groceries,Sale,-19.99
06/08/2022,06/09/2022,H-E-B #463,Groceries,Sale,-12.5
06/08/2022,06/09/2022,WAL-MART #2599,Groceries,Sale,-5.81
06/08/2022,06/09/2022,Amazon Prime*H67CD2AZ3,Bills & Utilities,Sale,-16.23
06/09/2022,06/12/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
06/09/2022,06/10/2022,WAL-MART #2599,Groceries,Sale,-30.86
06/09/2022,06/10/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/09/2022,06/10/2022,H-E-B #480,Groceries,Sale,-16.44
06/10/2022,06/12/2022,WAL-MART #2599,Groceries,Sale,-10.76
06/10/2022,06/12/2022,CIRCLE K #2741061,Gas,Sale,-1.72
06/10/2022,06/12/2022,SPECTRUM,Bills & Utilities,Sale,-110.31
06/10/2022,06/12/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
06/10/2022,06/12/2022,H-E-B #480,Groceries,Sale,-11.5
06/10/2022,06/12/2022,CIRCLE K #2741084,Gas,Sale,-1.72
06/11/2022,06/13/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
06/11/2022,06/13/2022,CIRCLE K #2741061,Gas,Sale,-1.72
06/11/2022,06/12/2022,MCDONALD'S F12673,Food & Drink,Sale,-2.38
06/11/2022,06/12/2022,WM SUPERCENTER #4162,Groceries,Sale,-22.36
06/11/2022,06/12/2022,H-E-B #395,Groceries,Sale,-24.23
06/11/2022,06/12/2022,7-ELEVEN 36590,Gas,Sale,-2.48
06/12/2022,06/14/2022,BARNES &amp; NOBLE #2802,Shopping,Sale,-2.8
06/12/2022,06/14/2022,STARBUCKS STORE 15702,Food & Drink,Sale,-2.87
06/12/2022,06/13/2022,H-E-B #102,Groceries,Sale,-11.67
06/12/2022,06/13/2022,CIRCLE K #2741084,Gas,Sale,-1.72
06/12/2022,06/13/2022,H-E-B #480,Groceries,Sale,-2.12
06/12/2022,06/13/2022,H-E-B #395,Groceries,Sale,-25.08
06/12/2022,06/13/2022,MCDONALD'S F12673,Food & Drink,Sale,-1.08
06/13/2022,06/14/2022,H-E-B #480,Groceries,Sale,-24.43
06/13/2022,06/14/2022,H-E-B #395,Groceries,Sale,-7.82
06/13/2022,06/14/2022,SQ *NICHE COFFEE COMPANY,Food & Drink,Sale,-3.25
06/13/2022,06/14/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/14/2022,06/16/2022,QT 4003,Gas,Sale,-1.94
06/14/2022,06/16/2022,DEZAVALA #152,Shopping,Sale,-25
06/14/2022,06/16/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
06/14/2022,06/15/2022,H-E-B #480,Groceries,Sale,-22.47
06/14/2022,06/15/2022,SIGMA PRIMARY CARE P,Health & Wellness,Sale,-17.18
06/14/2022,06/15/2022,H-E-B #480,Groceries,Sale,-5.28
06/14/2022,06/15/2022,H-E-B #102,Groceries,Sale,-8.93
06/15/2022,06/17/2022,QT 4003,Gas,Sale,-1.94
06/15/2022,06/17/2022,ARTISAN VAPOR COMPANY,Shopping,Sale,-46.52
06/15/2022,06/17/2022,CIRCLE K #2741054,Gas,Sale,-1.94
06/15/2022,06/16/2022,MCDONALD'S F3447,Food & Drink,Sale,-2.38
06/15/2022,06/16/2022,H-E-B #480,Groceries,Sale,-6
06/15/2022,06/16/2022,COSTCO WHSE #0689,Shopping,Sale,-24.44
06/15/2022,06/16/2022,CIRCLE K #2741084,Gas,Sale,-1.72
06/16/2022,06/19/2022,STARBUCKS STORE 23900,Food & Drink,Sale,-2.87
